"file_name","core_name","rdata_file_name","CLASSIFICATION","YEAR","Key","Type","Value"
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","RACE","Black",3980
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","RACE","Not Provided",14736
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","RACE","Other",3903
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","RACE","White",62048
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","row_n","Count",243491
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","zip_add_combination_n","Count",2659
"2. NPI/2.5 NPI_clinic_21.csv","clinic_21","3. df_geo/3.5 df_geo_clinic_21.RData","Clinic/Center","2021","ZIP_n","Count",742
"2. NPI/2.5 NPI_clinic_22.csv","clinic_22","3. df_geo/3.5 df_geo_clinic_22.RData","Clinic/Center","2022","address_n","Count",209
"2. NPI/2.5 NPI_clinic_22.csv","clinic_22","3. df_geo/3.5 df_geo_clinic_22.RData","Clinic/Center","2022","AGE_RANGE_DFS","00 - 04",18103
"2. NPI/2.5 NPI_clinic_22.csv","clinic_22","3. df_geo/3.5 df_geo_clinic_22.RData","Clinic/Center","2022","AGE_RANGE_DFS","05 - 09",10730
"2. NPI/2.5 NPI_clinic_22.csv","clinic_22","3. df_geo/3.5 df_geo_clinic_22.RData","Clinic/Center","2022","AGE_RANGE_DFS","10 - 14",9023
"2. NPI/2.5 NPI_clinic_22.csv","clinic_22","3. df_geo/3.5 df_geo_clinic_22.RData","Clinic/Center","2022","AGE_RANGE_DFS","15 - 19",6735
"2. NPI/2.5 NPI_clinic_22.csv","clinic_22","3. df_geo/3.5 df_geo_clinic_22.RData","Clinic/Center","2022","AGE_RANGE_DFS","20 - 24",2899
"2. NPI/2.5 NPI_clinic_22.csv","clinic_22","3. df_geo/3.5 df_geo_clinic_22.RData","Clinic/Center","2022","AGE_RANGE_DFS","25 - 29",2179
"2. NPI/2.5 NPI_clinic_22.csv","clinic_22","3. df_geo/3.5 df_geo_clinic_22.RData","Clinic/Center","2022","AGE_RANGE_DFS","30 - 34",3381
